source_system,source_code,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,PHYSICIAN REFERRAL,http://terminology.hl7.org/CodeSystem/admit-source,mp,"Medical Practitioner/physician referral"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,WALK-IN/SELF REFERRAL,http://snomed.info/sct,183687002,"Self referral"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,WALK-IN/SELF REFERRAL,http://terminology.hl7.org/CodeSystem/admit-source,other,"Other"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,AMBULATORY SURGERY TRANSFER,http://terminology.hl7.org/CodeSystem/admit-source,other,"Other"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,CLINIC REFERRAL,http://terminology.hl7.org/CodeSystem/admit-source,mp,"Medical Practitioner/physician referral"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,PROCEDURE SITE,http://snomed.info/sct,702869004,"Incident site"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,PROCEDURE SITE,http://terminology.hl7.org/CodeSystem/admit-source,other,"Other"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,PACU,http://snomed.info/sct,398161000,"Postoperative anesthesia care unit"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,PACU,http://terminology.hl7.org/CodeSystem/admit-source,other,"Other"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,TRANSFER FROM HOSPITAL,http://terminology.hl7.org/CodeSystem/admit-source,hosp-trans,"Transferred from other hospital"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,TRANSFER FROM SKILLED NURSING FACILITY,http://terminology.hl7.org/CodeSystem/admit-source,nursing,"Nursing home"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,EMERGENCY ROOM,http://terminology.hl7.org/CodeSystem/admit-source,emd,"From accident/emergency department"
https://mimic.mit.edu/fhir/CodeSystem/admission-locations,INTERNAL TRANSFER TO OR FROM PSYCH,http://terminology.hl7.org/CodeSystem/admit-source,psych,"From psychiatric hospital"
