source_system,source_code,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/order-types,ADT orders,http://snomed.info/sct,129273005,"Admission action"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Blood Bank,http://snomed.info/sct,59524001,"Blood bank procedure"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Cardiology,http://snomed.info/sct,276341003,"Cardiovascular investigation"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Consults,http://snomed.info/sct,409063005,"Counselling"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Critical Care,http://snomed.info/sct,182810003,"Intensive Care Monitoring"
https://mimic.mit.edu/fhir/CodeSystem/order-types,General Care,http://snomed.info/sct,7922000,"General care of patient"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Hemodialysis,http://snomed.info/sct,107733003,"Introduction procedure"
https://mimic.mit.edu/fhir/CodeSystem/order-types,IV therapy,http://snomed.info/sct,107733003,"Introduction procedure"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Lab,http://snomed.info/sct,108252007,"Laboratory procedure"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Neurology,http://snomed.info/sct,270913004,"Neuroelectrophysiology test"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Nutrition,http://snomed.info/sct,182922004,"Dietary regime"
https://mimic.mit.edu/fhir/CodeSystem/order-types,OB,http://snomed.info/sct,386637004,"Obstetric procedure"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Radiology,http://snomed.info/sct,363679005,"Imaging"
https://mimic.mit.edu/fhir/CodeSystem/order-types,Respiratory,http://snomed.info/sct,53950000,"Respiratory therapy"
https://mimic.mit.edu/fhir/CodeSystem/order-types,TPN,http://snomed.info/sct,418995006,"Feeding regime"
