source_system,source_code,source_display,target_system,target_code,target_display
http://www.nlm.nih.gov/research/umls/rxnorm,"1649570","Auto-Injector",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"858080","Buccal Film",http://snomed.info/sct,"443424002","Buccal film"
http://www.nlm.nih.gov/research/umls/rxnorm,"970789","Buccal Tablet",http://snomed.info/sct,"385085006","Buccal tablet"
http://www.nlm.nih.gov/research/umls/rxnorm,"1649572","Cartridge",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"2269573","Chewable Extended Release Oral Tablet",http://snomed.info/sct,"66076007","Chewable tablet"
http://www.nlm.nih.gov/research/umls/rxnorm,"91058","Chewable Tablet",http://snomed.info/sct,"66076007","Chewable tablet"
http://www.nlm.nih.gov/research/umls/rxnorm,"402499","Chewing Gum",http://snomed.info/sct,"385063000","Oral gum"
http://www.nlm.nih.gov/research/umls/rxnorm,"316995","Delayed Release Oral Capsule",http://snomed.info/sct,"1217284004","Delayed-release oral capsule"
http://www.nlm.nih.gov/research/umls/rxnorm,"2284290","Delayed Release Oral Granules",http://snomed.info/sct,"761901008","Delayed-release granules for oral suspension"
http://www.nlm.nih.gov/research/umls/rxnorm,"10312","Delayed Release Oral Tablet",http://snomed.info/sct,"421026006","Oral tablet"
http://www.nlm.nih.gov/research/umls/rxnorm,"316942","Disintegrating Oral Tablet",http://snomed.info/sct,"421026006","Oral tablet"
http://www.nlm.nih.gov/research/umls/rxnorm,"479172","Douche",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"657710","Drug Implant",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"2603774","Drug-Eluting Contact Lens",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"744995","Dry Powder Inhaler",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"1535727","Effervescent Oral Tablet",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"317678","Enema",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"316943","Extended Release Oral Capsule",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"316945","Extended Release Oral Tablet",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"316946","Extended Release Suspension",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"316999","Gas for Inhalation",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"1540453","Granules for Oral Solution",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"1540454","Granules for Oral Suspension",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"317000","Inhalation Powder",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"346161","Inhalation Solution",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"2284289","Inhalation Spray",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"2107948","Inhalation Suspension",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"1484929","Injectable Foam",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"316949","Injectable Solution",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"316950","Injectable Suspension",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"1649574","Injection",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"316951","Intraperitoneal Solution",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"1732876","Intratracheal Suspension",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"1856271","Intrauterine System",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"152903","Irrigation Solution",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"1649573","Jet Injector",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"316954","Medicated Bar Soap",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"316955","Medicated Liquid Soap",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"797271","Medicated Pad",http://snomed.info/sct,,
http://www.nlm.nih.gov/research/umls/rxnorm,"1792831","Medicated Patch",http://snomed.info/sct,,
