"ndc","doseFormRxcui","doseFormName","activeIngredientRxcui","activeIngredientName","numeratorUnit","numeratorValue","denominatorUnit","denominatorValue"
"62535001","11103","Vaginal Cream","37806","terconazole","MG","4.0","ML","1.0"
"904131309","316969","Oral Suspension","19478","bismuth subsalicylate","MG","17.5","ML","1.0"
"63481020516","316968","Oral Solution","282415","amantadine hydrochloride","MG","10.0","ML","1.0"
"42023011625","1649574","Injection","7824","oxytocin","UNT","10.0","ML","1.0"
"60505250403","316965","Oral Capsule","42351","lithium carbonate","MG","300.0","EACH","1.0"
"904598061","317541","Oral Tablet","6470","lorazepam","MG","0.5","EACH","1.0"
"54008826","317541","Oral Tablet","214342","calcium acetate","MG","667.0","EACH","1.0"
"30698014301","316965","Oral Capsule","1894","calcitriol","MG","2.5E-4","EACH","1.0"
"121148800","316968","Oral Solution","5032","guaifenesin","MG","20.0","ML","1.0"
"63323001115","316949","Injectable Solution","47998","chloramphenicol sodium succinate","MG","100.0","ML","1.0"
"781304095","1649574","Injection","9001","pyridostigmine bromide","MG","5.0","ML","1.0"
"591336901","317541","Oral Tablet","161","acetaminophen","MG","325.0","EACH","1.0"
"58281056001","1649574","Injection","1292","baclofen","MG","0.5","ML","1.0"
"182844789","317541","Oral Tablet","161","acetaminophen","MG","325.0","EACH","1.0"
"63459040401","317541","Oral Tablet","236875","tiagabine hydrochloride","MG","4.0","EACH","1.0"
"39822420006","316949","Injectable Solution","32521","rocuronium bromide","MG","10.0","ML","1.0"
"115703301","317541","Oral Tablet","165516","fludrocortisone acetate","MG","0.1","EACH","1.0"
"54838013340","316968","Oral Solution","102490","dextromethorphan hydrobromide","MG","2.0","ML","1.0"
"75062040","721656","Prefilled Syringe","221095","enoxaparin sodium","MG","100.0","ML","1.0"
"25021012720","1649574","Injection","2191","ceftazidime","MG","1000.0","EACH","1.0"
"406054034","1861409","Tablet for Oral Suspension","218337","methadone hydrochloride","MG","40.0","EACH","1.0"
"143950125","1649574","Injection","217483","haloperidol lactate","MG","5.0","ML","1.0"
