source_system,source_code,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/care-units,Cardiac Surgery,http://terminology.hl7.org/CodeSystem/v3-RoleCode,CVDX,"Cardiovascular diagnostics or therapeutics unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Cardiac Vascular Intensive Care Unit (CVICU),http://terminology.hl7.org/CodeSystem/v3-RoleCode,ICU,"Intensive care unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Cardiology Surgery Intermediate,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HU,"Hospital Unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Cardiology,http://terminology.hl7.org/CodeSystem/v3-RoleCode,CVDX,"Cardiovascular diagnostics or therapeutics unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Coronary Care Unit (CCU),http://terminology.hl7.org/CodeSystem/v3-RoleCode,CCU,"Coronary Care Unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Emergency Department,http://terminology.hl7.org/CodeSystem/v3-RoleCode,ER,"Emergency Room"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Emergency Department Observation,http://terminology.hl7.org/CodeSystem/v3-RoleCode,ER,"Emergency Room"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Hematology/Oncology,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HEM,"Hematology"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Hematology/Oncology,http://terminology.hl7.org/CodeSystem/v3-RoleCode,ONCL,"Oncology"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Hematology/Oncology Intermediate,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HU,"Hospital Unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Labor & Delivery,http://snomed.info/sct,405606005,"Labor Delivery Unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Med/Surg,http://terminology.hl7.org/CodeSystem/v3-RoleCode,SU,"Surgery Unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Med/Surg/GYN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,SU,"Surgery Unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Med/Surg/Trauma,http://terminology.hl7.org/CodeSystem/v3-RoleCode,SU,"Surgery Unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Medical Intensive Care Unit (MICU),http://terminology.hl7.org/CodeSystem/v3-RoleCode,ICU,"Intensive care unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Medical/Surgical (Gynecology),http://terminology.hl7.org/CodeSystem/v3-RoleCode,SU,"Surgery Unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Medical/Surgical Intensive Care Unit (MICU/SICU),http://terminology.hl7.org/CodeSystem/v3-RoleCode,ICU,"Intensive care unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Medicine,http://terminology.hl7.org/CodeSystem/v3-RoleCode,DX,"Diagnostics or therapeutics unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Medicine/Cardiology,http://terminology.hl7.org/CodeSystem/v3-RoleCode,CVDX,"Cardiovascular diagnostics or therapeutics unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Medicine/Cardiology Intermediate,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HU,"Hospital Unit"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Neurology,http://terminology.hl7.org/CodeSystem/v3-RoleCode,NEUR,"Neurology Clinic"
https://mimic.mit.edu/fhir/CodeSystem/care-units,Neuro Surgical Intensive Care Unit (Neuro SICU),http://terminology.hl7.org/CodeSystem/v3-RoleCode,ICU,"Intensive care unit"
