source_system,source_code,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,HOME,http://terminology.hl7.org/CodeSystem/discharge-disposition,home,"Home"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,ACUTE HOSPITAL,http://terminology.hl7.org/CodeSystem/discharge-disposition,other-hcf,"Other healthcare facility"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,ACUTE HOSPITAL,http://snomed.info/sct,306699001,"Discharge to hospital"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,SKILLED NURSING FACILITY,http://terminology.hl7.org/CodeSystem/discharge-disposition,snf,"Skilled nursing facility"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,ASSISTED LIVING,http://terminology.hl7.org/CodeSystem/discharge-disposition,alt-home,"Alternative home"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,HEALTHCARE FACILITY,http://terminology.hl7.org/CodeSystem/discharge-disposition,other-hcf,"Other healthcare facility"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,HOME HEALTH CARE,http://terminology.hl7.org/CodeSystem/discharge-disposition,home,"Home"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,HOME HEALTH CARE,http://snomed.info/sct,417511005,"Referral to home health care service"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,AGAINST ADVICE,http://terminology.hl7.org/CodeSystem/discharge-disposition,aadvice,"Left against advice"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,DIED,http://terminology.hl7.org/CodeSystem/discharge-disposition,exp,"Expired"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,OTHER FACILITY,http://terminology.hl7.org/CodeSystem/discharge-disposition,oth,"Other"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,HOSPICE,http://terminology.hl7.org/CodeSystem/discharge-disposition,hosp,"Hospice"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,REHAB,http://terminology.hl7.org/CodeSystem/discharge-disposition,rehab,"Rehabilitation"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,CHRONIC/LONG TERM ACUTE CARE,http://terminology.hl7.org/CodeSystem/discharge-disposition,long,"Long-term care"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,PSYCH FACILITY,http://terminology.hl7.org/CodeSystem/discharge-disposition,psy,"Psychiatric hospital"
https://mimic.mit.edu/fhir/CodeSystem/discharge-locations,PSYCH FACILITY,http://terminology.hl7.org/CodeSystem/discharge-disposition,psy,"Psychiatric hospital"
