source_system,source_code,source_display,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,NEG,Negative,http://loinc.org,LA6577-6,Negative
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,NEGATIVE,Negative,http://loinc.org,LA6577-6,Negative
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,"NEGATIVE FOR THICK SMEAR",Negative,http://loinc.org,LA6577-6,Negative
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,POS,Positive,http://loinc.org,LA6576-8,Positive
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,POSITIVE,Positive,http://loinc.org,LA6576-8,Positive
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,TRACE,Trace,http://loinc.org,LA11832-5,Trace
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,TR,Trace,http://loinc.org,LA11832-5,Trace
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,SMALL,Small,http://loinc.org,LA8983-4,Small
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,LARGE,Large,http://loinc.org,LA8981-8,Large
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,Clear,Clear,http://loinc.org,LA19732-9,Clear
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,Cloudy,Cloudy,http://loinc.org,LA19733-7,Cloudy
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,Hazy,Hazy,http://loinc.org,LA19733-7,Cloudy
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,Slcldy,Slightly cloudy,http://loinc.org,LA19733-7,Cloudy
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,SlHazy,Slightly cloudy,http://loinc.org,LA19733-7,Cloudy
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,Yellow,Yellow,http://snomed.info/sct,46800005,Normal urine color (yellow)
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,YEL,Yellow,http://snomed.info/sct,46800005,Normal urine color (yellow)
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,Straw,Straw,http://snomed.info/sct,46800005,Normal urine color (yellow)
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,DKYEL,Dark Yellow,http://snomed.info/sct,720001001,Dark yellow urine
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,Amber,Amber,http://snomed.info/sct,720001001,Dark yellow urine (amber)
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,AMB,Amber,http://snomed.info/sct,720001001,Dark yellow urine (amber)
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,LtAmb,Light Amber,http://snomed.info/sct,720001001,Dark yellow urine (amber)
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,DKAMB,Dark Amber,http://snomed.info/sct,720001001,Dark yellow urine (amber)
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,DKMB,Dark Amber,http://snomed.info/sct,720001001,Dark yellow urine (amber)
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,RED,Red,http://snomed.info/sct,720003003,Reddish color urine
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,PINK,Red,http://snomed.info/sct,720003003,Reddish color urine
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,Brown,Brown,http://snomed.info/sct,720002008,Porter color urine (brown)
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,Orange,Brown,http://snomed.info/sct,371242008,Orange color
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,SPONTANEOUS,Spontaneous,http://loinc.org,LA12671-6,Assisted ventilation
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,CONTROLLED,Controlled,http://loinc.org,LA29246-8,Controlled ventilation
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,IMV,Controlled,http://loinc.org,LA46-8,Other
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,ART,Arterial,http://snomed.info/sct,4635002,Arterial blood
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,VEN,Arterial,http://snomed.info/sct,53130003,Venous blood
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,MIX,Mix,http://snomed.info/sct,116176007,Mixed venous blood
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,CENTRAL VENOUS,Central Venous Blood,http://snomed.info/sct,1201871002,Venous cord blood
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,OCCASIONAL,Occasional,http://loinc.org,LA20948-8,Occasional
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,1+,Occasional,http://loinc.org,LA11841-6,1+
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,2+,Occasional,http://loinc.org,LA11842-4,2+
https://mimic.mit.edu/fhir/CodeSystem/labitem-coded-values,3+,Occasional,http://loinc.org,LA11843-2,3+
