source_system,source_code,source_display,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80303,ABIOTROPHIA/GRANULICATELLA SPECIES,http://snomed.info/sct,698214003,"Nutritionally variant streptococci"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90487,ACHROMOBACTER (ALCALIGENES) DENTRIFICANS,http://snomed.info/sct,413414001,"Achromobacter denitrificans"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90807,ACHROMOBACTER SP.,http://snomed.info/sct,413422008,"Achromobacter spanius"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90778,ACHROMOBACTER SPECIES,http://snomed.info/sct,91620006,"Achromobacter species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90816,ACHROMOBACTER XYLOSOXIDANS,http://snomed.info/sct,413424009,"Achromobacter xylosoxidans"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80086,ACIDFAST BACILLI,http://snomed.info/sct,243365003,"Acid-fast bacillus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80194,ACINETOBACTER BAUMANNII,http://snomed.info/sct,91288006,"Acinetobacter baumannii"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80304,ACINETOBACTER BAUMANNII COMPLEX,http://snomed.info/sct,113376007,"Acinetobacter calcoaceticus-Acinetobacter baumannii complex"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90287,ACINETOBACTER LWOFFII,http://snomed.info/sct,83088009,"Acinetobacter lwoffii"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80216,ACINETOBACTER SP.,http://snomed.info/sct,7757008,"Acinetobacter species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80157,ACREMONIUM SPECIES,http://snomed.info/sct,63996006,"Acremonium species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90383,ACTINOBACILLUS ACTINOMYCETEMCOMITANS,http://snomed.info/sct,442680008,"Actinobacillus actinomycetemcomitans"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90398,ACTINOMYCES ISRAELII,http://snomed.info/sct,46369004,"Actinomyces israelii"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80136,ACTINOMYCES ODONTOLYTICUS,http://snomed.info/sct,12069003,"Schaalia odontolytica"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90508,ACTINOMYCES SP.,http://snomed.info/sct,787887006,"Actinomyces species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90839,ACTINOTIGNUM SANGUINIS,http://snomed.info/sct,716527002,"Actinotignum sanguinis"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80146,ADENOVIRUS,http://snomed.info/sct,424470006,"Adenovirus group"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90718,AEROCOCCUS SPECIES,http://snomed.info/sct,9008009,"Aerococcus species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90812,AEROCOCCUS URINAE,http://snomed.info/sct,243230001,"Aerococcus urinae"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80092,AEROCOCCUS VIRIDANS,http://snomed.info/sct,78803006,"Aerococcus viridans"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80032,AEROMONAS HYDROPHILA,http://snomed.info/sct,85823000,"Aeromonas hydrophila"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90711,AEROMONAS HYDROPHILA COMPLEX,http://snomed.info/sct,816086002,"Aeromonas hydrophila complex"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80195,AEROMONAS SPECIES,http://snomed.info/sct,88529008,"Aeromonas species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80220,AFB GROWN IN CULTURE,http://snomed.info/sct,243365003,"Acid-fast bacillus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90736,AGGREGATIBACTER (HAEMOPHILUS) APHROPHILUS,http://snomed.info/sct,442683005,"Aggregatibacter aphrophilus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90472,ALCALIGENES FAECALIS,http://snomed.info/sct,25223004,"Alcaligenes faecalis"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90737,ALCALIGENES SPECIES,http://snomed.info/sct,68571003,"Alcaligenes species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80252,ALCALIGENES XYLOSOXIDANS,http://snomed.info/sct,413424009,"Achromobacter xylosoxidans"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80052,ALPHA STREPTOCOCCI,http://snomed.info/sct,60631002,"Alpha-hemolytic streptococcus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90443,ALTERNARIA SP.,http://snomed.info/sct,75059003,"Alternaria species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80074,ANAEROBIC GRAM NEGATIVE ROD #2,http://snomed.info/sct,243386003,"Anaerobic Gram-negative bacillus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80036,ANAEROBIC GRAM NEGATIVE ROD(S),http://snomed.info/sct,243386003,"Anaerobic Gram-negative bacillus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80078,ANAEROBIC GRAM POSITIVE COCCUS(I),http://snomed.info/sct,243416009,"Anaerobic Gram-positive coccus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80079,ANAEROBIC GRAM POSITIVE ROD(S),http://snomed.info/sct,243398008,"Anaerobic Gram-positive rod"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80135,ASCARIS LUMBRICOIDES,http://snomed.info/sct,19061001,"Ascaris lumbricoides"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80114,ASPERGILLUS FLAVUS,http://snomed.info/sct,66821001,"Aspergillus flavus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80066,ASPERGILLUS FUMIGATUS,http://snomed.info/sct,32684000,"Aspergillus fumigatus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90834,ASPERGILLUS FUMIGATUS COMPLEX,http://snomed.info/sct,719029007,"Aspergillus fumigatus species complex"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80215,ASPERGILLUS NIDULANS,http://snomed.info/sct,60264008,"Aspergillus nidulans"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80062,ASPERGILLUS NIGER,http://snomed.info/sct,89354002,"Aspergillus niger"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80239,"ASPERGILLUS SP. NOT FUMIGATUS, FLAVUS OR NIGER",http://snomed.info/sct,719038009,"Aspergillus species, not Aspergillus fumigatus and not Aspergillus niger and not Aspergillus flavus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80063,ASPERGILLUS SPECIES,http://snomed.info/sct,2429008,"Aspergillus species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90494,ASPERGILLUS TERREUS,http://snomed.info/sct,26406003,"Aspergillus terreus"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80148,ASPERGILLUS VERSICOLOR GROUP,http://snomed.info/sct,415881005,"Aspergillus versicolor Group"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80117,AUREOBASIDIUM PULLULANS,http://snomed.info/sct,39129008,"Aureobasidium pullulans"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90850,BACILLUS CIRCULANS GROUP,http://snomed.info/sct,413619002,"Bacillus circulans group"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80082,BACILLUS SPECIES,http://snomed.info/sct,44762009,"Bacillus species"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80281,BACILLUS SPECIES; NOT ANTHRACIS,http://snomed.info/sct,413352001,"Bacillus species not Bacillus anthracis"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,80080,BACTERIA,http://snomed.info/sct,409822003,"Bacteria"
https://mimic.mit.edu/fhir/CodeSystem/mibrob-orgitems,90832,BACTEROIDES DOREI/VULGATUS,http://snomed.info/sct,450957004,"Phocaeicola dorei"
