source_system,source_code,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/services,CMED,http://snomed.info/sct,305357000,"Admission to cardiology department"
https://mimic.mit.edu/fhir/CodeSystem/services,CSURG,http://snomed.info/sct,305412005,"Admission to cardiac surgery department"
https://mimic.mit.edu/fhir/CodeSystem/services,DENT,http://snomed.info/sct,305413000,"Admission to dental surgery department"
https://mimic.mit.edu/fhir/CodeSystem/services,ENT,http://snomed.info/sct,305417004,"Admission to ear, nose and throat department"
https://mimic.mit.edu/fhir/CodeSystem/services,EYE,http://snomed.info/sct,305377007,"Admission to medical ophthalmology department"
https://mimic.mit.edu/fhir/CodeSystem/services,GU,http://snomed.info/sct,305374000,"Admission to genitourinary medicine department"
https://mimic.mit.edu/fhir/CodeSystem/services,GYN,http://snomed.info/sct,305385003,"Admission to gynecology department"
https://mimic.mit.edu/fhir/CodeSystem/services,MED,http://snomed.info/sct,305368000,"Admission to general medical department"
https://mimic.mit.edu/fhir/CodeSystem/services,NB,http://snomed.info/sct,830077005,"Admission to newborn intensive care unit"
https://mimic.mit.edu/fhir/CodeSystem/services,NBB,http://snomed.info/sct,830077005,"Admission to newborn intensive care unit"
https://mimic.mit.edu/fhir/CodeSystem/services,NMED,http://snomed.info/sct,305379005,"Admission to neurology department"
https://mimic.mit.edu/fhir/CodeSystem/services,NSURG,http://snomed.info/sct,305425002,"Admission to neurosurgical department"
https://mimic.mit.edu/fhir/CodeSystem/services,OBS,http://snomed.info/sct,305386002,"Admission to obstetrics department"
https://mimic.mit.edu/fhir/CodeSystem/services,ORTHO,http://snomed.info/sct,305428000,"Admission to orthopedic department"
https://mimic.mit.edu/fhir/CodeSystem/services,OMED,http://snomed.info/sct,183495009,"Non-urgent orthopedic admission"
https://mimic.mit.edu/fhir/CodeSystem/services,PSURG,http://snomed.info/sct,305431004,"Admission to plastic surgery department"
https://mimic.mit.edu/fhir/CodeSystem/services,PSYCH,http://snomed.info/sct,305400006,"Admission to psychiatry department"
https://mimic.mit.edu/fhir/CodeSystem/services,SURG,http://snomed.info/sct,305423009,"Admission to general surgical department"
https://mimic.mit.edu/fhir/CodeSystem/services,TRAUM,http://snomed.info/sct,305433001,"Admission to trauma surgery department"
https://mimic.mit.edu/fhir/CodeSystem/services,TSURG,http://snomed.info/sct,305411003,"Admission to thoracic surgery department"
https://mimic.mit.edu/fhir/CodeSystem/services,VSURG,http://snomed.info/sct,305435008,"Admission to vascular surgery department"
