source_system,source_code,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Admit,http://snomed.info/sct,32485007,"Hospital admission"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Discharge,http://snomed.info/sct,308283009,"Discharge from hospital"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Transfer,http://snomed.info/sct,37729005,"Patient transfer, in-hospital"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Postop,http://snomed.info/sct,398068008," Patient transfer to postoperative anesthesia care unit"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Blood tests,http://snomed.info/sct,250404007,"Blood compatibility test"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Cryoprecipitate Product Order,http://snomed.info/sct,104081008,"Reservation of blood product"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Derivative Order,http://snomed.info/sct,104081008,"Reservation of blood product"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Frozen Plasma Product Order,http://snomed.info/sct,104081008,"Reservation of blood product"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Platelet Product Order,http://snomed.info/sct,104081008,"Reservation of blood product"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Red Cell Product Order,http://snomed.info/sct,104081008,"Reservation of blood product"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,ECG,http://snomed.info/sct,46825001,"Electrocardiographic monitoring"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Echo,http://snomed.info/sct,40701008,"Echocardiography"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,ETT (Non-Imaging),http://snomed.info/sct,165079009,"Exercise tolerance test"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Holter Monitor,http://snomed.info/sct,252417001,"24 Hour electrocardiogram"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Stress Echo,http://snomed.info/sct,816996009,"Stress echocardiography"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Addiction,http://snomed.info/sct,313071005,"Counseling for substance abuse"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Anesthesia (Chronic Pain Service),http://snomed.info/sct,420454001,"Consultation for chronic pain"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Cardiology (EP),http://snomed.info/sct,252425004,"Cardiac electrophysiology"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Cardiology (General),http://snomed.info/sct,308471005,"Referral to cardiologist"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Dermatology,http://snomed.info/sct,308472003,"Referral to dermatologist"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Diabetes Consult,http://snomed.info/sct,715159005,"Referral to diabetes service"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Discharge Followup Appointment,http://snomed.info/sct,281036007,"Follow-up consultation"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Endocrinology,http://snomed.info/sct,306278007,"Referral to endocrinologist"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,ERCP/Advanced Endoscopy,http://snomed.info/sct,266755007,"Referral for endoscopy"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Gastroenterology,http://snomed.info/sct,306730008,"Referral for gastroscopy"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Hematology-Oncology,http://snomed.info/sct,183567007,"Referral to hematologist"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Infectious Disease,http://snomed.info/sct,306284005,"Referral to infectious diseases physician"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Nephrology,http://snomed.info/sct,306286007,"Referral to nephrologist"
https://mimic.mit.edu/fhir/CodeSystem/order-subtypes,Neurology,http://snomed.info/sct,308474002,"Referral to neurologist"
