source_system,source_code,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Administered,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,"Administered in Other Location",http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Administered Bolus from IV Drip,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Applied,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,"Applied in Other Location",http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Flushed,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Flushed in Other Location,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Delayed,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,"Delayed Administered",http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,"Delayed Applied",http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,"Delayed Flushed",http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,"Partial Administered",http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,"in Other Location",http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Assessed,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,"Delayed Assessed",http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Started,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Started in Other Location,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Delayed Started,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed
https://mimic.mit.edu/fhir/CodeSystem/emar-events,Restarted,http://terminology.hl7.org/CodeSystem/medication-admin-status,completed,Completed

