source_system,source_code,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,CAP,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CAP,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,DROP,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DROP,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,DRP,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DROP,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,gtt,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DROP,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,FILM,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TAB,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,GUM,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,GUM,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,INH,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,INHL,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,LOZ,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TAB,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,PTCH,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PATCH,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,PUFF,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PUFF,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,SPRY,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SPRY,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,STCK,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SWAB,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,SUPP,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SUPP,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,TAB,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TAB,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,TROC,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TAB,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,WAF,http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,WAFER,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,g,http://unitsofmeasure.org,g,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,gm,http://unitsofmeasure.org,g,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,GR,http://unitsofmeasure.org,g,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,IU,http://unitsofmeasure.org,U,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,L,http://unitsofmeasure.org,L,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mcg,http://unitsofmeasure.org,ug,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mcg/h,http://unitsofmeasure.org,ug/h,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mcg/hr,http://unitsofmeasure.org,ug/h,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mcg/kg/min,http://unitsofmeasure.org,ug/kg/min,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mcg/mL,http://unitsofmeasure.org,ug/mL,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mEq,http://unitsofmeasure.org,meq,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mg,http://unitsofmeasure.org,mg,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mg PE,http://unitsofmeasure.org,mg,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,"mg/ 0 mg",http://unitsofmeasure.org,mg,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mg/24h,http://unitsofmeasure.org,mg/(24.h),
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mg/day,http://unitsofmeasure.org,mg/d,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mg/hr,http://unitsofmeasure.org,mg/h,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mg/kg,http://unitsofmeasure.org,mg,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mg/mL,http://unitsofmeasure.org,mg,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,"mg\ 0 mg",http://unitsofmeasure.org,mg,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,Million Units,http://unitsofmeasure.org,10*6.U,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,million units,http://unitsofmeasure.org,10*6.U,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mL,http://unitsofmeasure.org,mL,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mL/hr,http://unitsofmeasure.org,mL/h,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mL/mL,http://unitsofmeasure.org,mL,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,mmol,http://unitsofmeasure.org,mL,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,MU,http://unitsofmeasure.org,10*6.U,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,UNIT,http://unitsofmeasure.org,U,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,UNIT/HR,http://unitsofmeasure.org,U/h,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,units,http://unitsofmeasure.org,U,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,Units/Liter,http://unitsofmeasure.org,U,
https://mimic.mit.edu/fhir/CodeSystem/medication-dose-units,dose,http://unitsofmeasure.org,{Dose},
