source_system,source_code,source_display,target_system,target_code,target_display
https://mimic.mit.edu/fhir/CodeSystem/labitems,50801,Alveolar-arterial Gradient,http://loinc.org,19991-9,Alveolar-arterial oxygen Partial pressure difference
https://mimic.mit.edu/fhir/CodeSystem/labitems,50802,Base Excess,http://loinc.org,11555-0,Base excess in Blood by calculation
https://mimic.mit.edu/fhir/CodeSystem/labitems,50803,"Calculated Bicarbonate, Whole Blood",http://loinc.org,1959-6,Bicarbonate [Moles/volume] in Blood
https://mimic.mit.edu/fhir/CodeSystem/labitems,50804,Calculated Total CO2,http://loinc.org,34728-6,"Carbon dioxide, total [Moles/volume] in Blood by calculation"
https://mimic.mit.edu/fhir/CodeSystem/labitems,50805,Carboxyhemoglobin,http://loinc.org,20563-3,Carboxyhemoglobin/Hemoglobin.total in Blood
https://mimic.mit.edu/fhir/CodeSystem/labitems,50806,"Chloride, Whole Blood",http://loinc.org,2069-3,Chloride [Moles/volume] in Blood
https://mimic.mit.edu/fhir/CodeSystem/labitems,50808,Free Calcium,http://loinc.org,1994-3,Calcium.ionized [Moles/volume] in Blood
https://mimic.mit.edu/fhir/CodeSystem/labitems,50809,Glucose,http://loinc.org,2339-0,Glucose [Mass/volume] in Blood
https://mimic.mit.edu/fhir/CodeSystem/labitems,50810,"Hematocrit, Calculated",http://loinc.org,48703-3,Hematocrit [Volume Fraction] of Blood by Estimated
https://mimic.mit.edu/fhir/CodeSystem/labitems,50811,Hemoglobin,http://loinc.org,718-7,Hemoglobin [Mass/volume] in Blood
https://mimic.mit.edu/fhir/CodeSystem/labitems,50813,Lactate,http://loinc.org,32693-4,Lactate [Moles/volume] in Blood
https://mimic.mit.edu/fhir/CodeSystem/labitems,50814,Methemoglobin,http://loinc.org,2614-6,Methemoglobin/Hemoglobin.total in Blood
https://mimic.mit.edu/fhir/CodeSystem/labitems,50815,O2 Flow,http://loinc.org,3151-8,Inhaled oxygen flow rate
https://mimic.mit.edu/fhir/CodeSystem/labitems,50816,Oxygen,http://loinc.org,3150-0,Inhaled oxygen concentration
